Date,Open,High,Low,Close,Adj Close,Volume,bb_bbm,bb_bbh,bb_bbl,rsi
2022-04-19,165.02000427246094,167.82000732421875,163.91000366210938,167.39999389648438,165.28443908691406,67723800,171.910001373291,180.40566629235892,163.4143364542231,47.597381740911416
2022-04-20,168.75999450683594,168.8800048828125,166.10000610351562,167.22999572753906,165.1165771484375,67929800,171.83050079345702,180.46889873361346,163.19210285330058,47.35229275316567
2022-04-21,168.91000366210938,171.52999877929688,165.91000366210938,166.4199981689453,164.31680297851562,87227800,171.64100036621093,180.5745206601581,162.70748007226376,46.13335938790903
2022-04-22,166.4600067138672,167.8699951171875,161.5,161.7899932861328,159.74533081054688,84882400,171.02699966430663,180.85187882552535,161.2021205030879,39.822984254569576
2022-04-25,161.1199951171875,163.1699981689453,158.4600067138672,162.8800048828125,160.82156372070312,96046400,170.43499984741212,180.71475899315897,160.15524070166526,41.83995313444069
2022-04-26,162.25,162.33999633789062,156.72000122070312,156.8000030517578,154.81838989257812,95623200,169.49499969482423,181.07024122774646,157.919758161902,34.827793605985406
2022-04-27,155.91000366210938,159.7899932861328,155.3800048828125,156.57000732421875,154.59132385253906,88063200,168.3754997253418,180.39493855586707,156.35606089481652,34.59161952409754
2022-04-28,159.25,164.52000427246094,158.92999267578125,163.63999938964844,161.5719451904297,130216800,167.66899948120118,179.04019066636545,156.29780829603692,46.583009593775174
2022-04-29,161.83999633789062,166.1999969482422,157.25,157.64999389648438,155.65765380859375,131747600,166.8209991455078,178.52006602874926,155.12193226226637,39.907510403512454
2022-05-02,156.7100067138672,158.22999572753906,153.27000427246094,157.9600067138672,155.96371459960938,123055300,166.00349960327148,177.77980470550145,154.2271945010415,40.383676539736435
2022-05-03,158.14999389648438,160.7100067138672,156.32000732421875,159.47999572753906,157.46450805664062,88966500,165.0554992675781,175.66985008661837,154.44114844853786,42.777809525108786
2022-05-04,159.6699981689453,166.47999572753906,159.25999450683594,166.02000427246094,163.921875,108256500,164.60349960327147,174.1959594178044,155.01103978873854,51.75530501961105
2022-05-05,163.85000610351562,164.0800018310547,154.9499969482422,156.77000427246094,154.7887725830078,130525300,163.8504997253418,173.42000927174567,154.2809901789379,41.77293233219527
2022-05-06,156.00999450683594,159.44000244140625,154.17999267578125,157.27999877929688,155.5205078125,116124600,163.1074996948242,172.28673998892293,153.9282594007255,42.432207822472265
2022-05-09,154.92999267578125,155.8300018310547,151.49000549316406,152.05999755859375,150.35888671875,131577900,162.20599975585938,171.986902200568,152.42509731115075,37.72405867517192
2022-05-10,155.52000427246094,156.74000549316406,152.92999267578125,154.50999450683594,152.781494140625,115366700,161.64399948120118,171.82910562745948,151.45889333494287,41.0312269743479
2022-05-11,153.5,155.4499969482422,145.80999755859375,146.5,144.861083984375,142689800,160.58599929809571,172.3285974968389,148.84340109935252,34.56784704294553
2022-05-12,142.77000427246094,146.1999969482422,138.8000030517578,142.55999755859375,140.96517944335938,182602000,159.19399948120116,172.4553119442741,145.93268701812823,31.905528141708842
2022-05-13,144.58999633789062,148.10000610351562,143.11000061035156,147.11000061035156,145.46426391601562,113990900,158.2849998474121,172.22521736919145,144.34478232563276,37.85769356213593
2022-05-16,145.5500030517578,147.52000427246094,144.17999267578125,145.5399932861328,143.9118194580078,86643800,157.30849914550782,171.9302371827109,142.68676110830475,36.666699410855195
2022-05-17,148.86000061035156,149.77000427246094,146.67999267578125,149.24000549316406,147.57041931152344,78336300,156.4004997253418,170.65356382195935,142.14743562872425,41.34957682344309
2022-05-18,146.85000610351562,147.36000061035156,139.89999389648438,140.82000732421875,139.24462890625,109742900,155.0800003051758,169.95513772395688,140.2048628863947,35.006216699428975
